,word,freq
783,pithy,25
784,tangy,25
785,rounded,25
786,scent,25
787,river,25
788,becomes,25
789,times,25
790,reviewed,25
791,towards,24
792,form,24
793,20,24
794,combination,24
795,recedes,24
796,man,24
797,despite,24
798,offering,24
799,375ml,24
800,jammy,24
801,drinkability,24
802,flat,24
803,soapy,24
804,bittersweet,24
805,keep,24
806,berry,24
807,opinion,24
808,put,24
809,4.5,24
810,cans,24
811,dates,24
812,single,24
813,residual,24
814,goodness,24
815,list,24
816,zero,24
817,trillium,24
818,barrel-aged,24
819,mildly,24
820,beautifully,23
821,hearty,23
822,250,23
823,england,23
824,guess,23
825,tannins,23
826,nectarine,23
827,lactic,23
828,spiciness,23
829,usual,23
830,higher,23
831,undertones,23
832,strawberry,23
833,distinct,23
834,cacao,23
835,making,23
836,draft,23
837,instead,23
838,people,23
839,course,23
840,reminds,23
841,variant,23
842,somehow,23
843,oranges,23
844,ris,23
845,room,22
846,generous,22
847,colour,22
848,superb,22
849,slow,22
850,kick,22
851,milky,22
852,underlying,22
853,sticks,22
854,750,22
855,adjuncts,22
856,beans,22
857,week,22
858,restrained,22
859,blueberry,22
860,lasts,22
861,peanut,22
862,friend,22
863,pouring,22
864,subdued,22
865,film,22
866,line,21
867,taking,21
868,prairie,21
869,month,21
870,hope,21
871,earth,21
872,store,21
873,pleasantly,21
874,puckering,21
875,clearly,21
876,remember,21
877,world-class,21
878,lacingsmell,21
879,bring,21
880,cola,21
881,forms,21
882,believe,21
883,turbid,21
884,thicker,21
885,minerality,21
886,4.75,21
887,holding,21
888,oh,21
889,modest,21
890,show,21
891,capped,21
892,vibrant,21
893,warmed,21
894,recent,21
895,blended,21
896,offerings,21
897,christmas,21
898,refined,21
899,passion,21
900,ample,20
901,beyond,20
902,ounce,20
903,apples,20
904,pronounced,20
905,several,20
906,appears,20
907,blanket,20
908,crackery,20
909,relatively,20
910,topped,20
911,thinner,20
912,seek,20
913,tuesday,20
914,via,20
915,wrong,20
916,barely,20
917,tequila,20
918,home,20
919,blackberry,20
920,topper,20
921,powder,20
922,seen,20
923,elements,20
924,rum,20
925,since,20
926,reputation,20
927,fuller,20
928,og,20
929,sipping,20
930,yes,19
931,face,19
932,hands,19
933,waves,19
934,lively,19
935,dont,19
936,viscosity,19
937,additional,19
938,2015,19
939,smelling,19
940,overripe,19
941,apricots,19
942,surface,19
943,oats,19
944,wanted,19
945,yeah,19
946,school,19
947,sauce,19
948,brewed,19
949,temp,19
950,brought,19
951,sort,19
952,local,19
953,earthiness,19
954,work,19
955,cut,19
956,mosaic,19
957,general,19
958,thank,19
959,quick,19
960,sized,19
961,simple,19
962,sampled,19
963,prickly,19
964,picked,19
965,rest,18
966,seemed,18
967,underneath,18
968,cantaloupe,18
969,pleasure,18
970,soon,18
971,delight,18
972,toward,18
973,influence,18
974,apparent,18
975,raw,18
976,fact,18
977,toast,18
978,dominate,18
979,tell,18
980,within,18
981,hell,18
982,beneath,18
983,considering,18
984,smoky,18
985,flavours,18
986,intensity,18
987,muted,18
988,case,18
989,among,18
990,late,18
991,phenomenal,18
992,finish.overall,18
993,shine,18
994,esters,18
995,soy,17
996,rate,17
997,sue,17
998,lives,17
999,early,17
1000,already,17
1001,full-bodied,17
1002,2013,17
1003,lived,17
1004,leave,17
1005,foggy,17
1006,check,17
1007,pungent,17
1008,works,17
1009,honestly,17
1010,clarity,17
1011,call,17
1012,pack,17
1013,variants,17
1014,continues,17
1015,reason,17
1016,felt,17
1017,carbonation.o,17
1018,particularly,17
1019,jam,17
1020,crazy,17
1021,brief,17
1022,ne,17
1023,grainy,17
1024,adjunct,17
1025,everyone,17
1026,dusty,17
1027,notch,17
1028,fruitiness,17
